"","type","longitude","latitude","location_name","location_id","comments_count","filter","created_time","link","likes_count","image_url","caption","username","user_id","user_fullname","id"
"11","image",29.909056002,59.885063266,"Grand Cascade",778286055,3,"Normal",2015-07-14 00:07:39,"https://instagram.com/p/5Fi5lMDGHB/",29,"https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11429663_1680644922168209_2108508184_n.jpg","Different View of the Grand Cascading Fountain facing the Peterhof Palace. DID YOU KNOW<U+2753>The fountains operate without the use of pumps. Water is supplied from natural springs and collects in reservoirs in the Upper Gardens.
<U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F>
Location || St Petersburg || Russia (2012)
<U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F><U+25AA><U+FE0F>
<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8><ed><U+00A0><U+00BD><ed><U+00B4><U+00B8>
#Travel #StPetersburg #Russia #mjphotojourneys #LiveTravelChannel #BTGoldenHour #wngreatescapes #visiteurope #total_city #citypicz #people_and_world #kings_villages #wu_europe #world_beststreet #capital_world #worldheritage #gounesco #GlobeJetsetter #hdr_city_ #pristine_hdr #natgeotravelpics #BBCTravel #MyBudgetTravel","wanderlustpt77","14285791","MJ","1028381580446163393_14285791"
"12","image",11.906516667,46.5519,NA,NA,0,"Normal",2015-07-14 00:07:03,"https://instagram.com/p/5Fi1Q1y6Ch/",36,"https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11372114_1037939626223822_1171877321_n.jpg","Simply perfect<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#me #mtb #enduro #canyon #strive #dolomiti #mountain #bike #italy #beautiful #landscape #view #meandmybike #explore #unesco #worldheritage #outdoors #loves_dolomiti #trentino #altoadige #südtirol #flowers #summer #alps #beard #bikeporn #nature #blue #sky #thewildsideofMattiello","wild_mattiello","492999839","Giovanni Mattiello","1028381283720077473_492999839"
"13","image",2.176040892,41.383880094,"Sagrada Familia Cathedral Barcelona",218040869,0,"Juno",2015-07-14 00:02:32,"https://instagram.com/p/5FiUGCRoeQ/",4,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11337163_787374511360389_1260137642_n.jpg","#SagradaFamilia #Barcelona #Catalunya #Gaudi #Catedral #Spain #worldheritage #beautiful #<U+30B5><U+30B0><U+30E9><U+30C0><U+30D5><U+30A1><U+30DF><U+30EA><U+30A2> #<U+30D0><U+30EB><U+30BB><U+30ED><U+30CA> #<U+30AB><U+30BF><U+30EB><U+30FC><U+30CB><U+30E3> #<U+30AC><U+30A6><U+30C7><U+30A3> #<U+6559><U+4F1A> #<U+30B9><U+30DA><U+30A4><U+30F3> #<U+4E16><U+754C><U+907A><U+7523>","miura525","1155584512","Naoaki Miura","1028379004375566224_1155584512"
"14","image",2.176040892,41.383880094,"Sagrada Familia Cathedral Barcelona",218040869,0,"Juno",2015-07-14 00:00:44,"https://instagram.com/p/5FiG9LRody/",5,"https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11420708_490990154396743_1506441374_n.jpg","#SagradaFamilia #Barcelona #Catalunya #Gaudi #Catedral #Spain #worldheritage #beautiful #<U+30B5><U+30B0><U+30E9><U+30C0><U+30D5><U+30A1><U+30DF><U+30EA><U+30A2> #<U+30D0><U+30EB><U+30BB><U+30ED><U+30CA> #<U+30AB><U+30BF><U+30EB><U+30FC><U+30CB><U+30E3> #<U+30AC><U+30A6><U+30C7><U+30A3> #<U+6559><U+4F1A> #<U+30B9><U+30DA><U+30A4><U+30F3> #<U+4E16><U+754C><U+907A><U+7523>","miura525","1155584512","Naoaki Miura","1028378101509687154_1155584512"
"15","image",2.176040892,41.383880094,"Sagrada Familia Cathedral Barcelona",218040869,0,"Mayfair",2015-07-13 23:59:44,"https://instagram.com/p/5Fh_oixode/",2,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11266617_414280365445998_1686481542_n.jpg","#SagradaFamilia #Barcelona #Catalunya #Gaudi #Catedral #Spain #worldheritage #beautiful #<U+30B5><U+30B0><U+30E9><U+30C0><U+30D5><U+30A1><U+30DF><U+30EA><U+30A2> #<U+30D0><U+30EB><U+30BB><U+30ED><U+30CA> #<U+30AB><U+30BF><U+30EB><U+30FC><U+30CB><U+30E3> #<U+30AC><U+30A6><U+30C7><U+30A3> #<U+6559><U+4F1A> #<U+30B9><U+30DA><U+30A4><U+30F3> #<U+4E16><U+754C><U+907A><U+7523>","miura525","1155584512","Naoaki Miura","1028377598319036254_1155584512"
"16","image",2.172911176,41.404652308,"<U+30B5><U+30B0><U+30E9><U+30C0><U+30D5><U+30A1><U+30DF><U+30EA><U+30A2>",276833127,0,"Mayfair",2015-07-13 23:57:38,"https://instagram.com/p/5FhwRVxoc6/",11,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11381415_115574922116102_1488441922_n.jpg","#SagradaFamilia #Barcelona #Catalunya #Gaudi #Catedral #Spain #worldheritage #beautiful #<U+30B5><U+30B0><U+30E9><U+30C0><U+30D5><U+30A1><U+30DF><U+30EA><U+30A2> #<U+30D0><U+30EB><U+30BB><U+30ED><U+30CA> #<U+30AB><U+30BF><U+30EB><U+30FC><U+30CB><U+30E3> #<U+30AC><U+30A6><U+30C7><U+30A3> #<U+6559><U+4F1A> #<U+30B9><U+30DA><U+30A4><U+30F3> #<U+4E16><U+754C><U+907A><U+7523>","miura525","1155584512","Naoaki Miura","1028376542612719418_1155584512"
"17","image",-9.262192585,38.77958152,"Castelo Dos Mouros , Sintra , Portugal",417800308,2,"Normal",2015-07-13 23:39:13,"https://instagram.com/p/5FfpY7vQLu/",46,"https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10727389_1619136788375315_774735515_n.jpg","Castelo Dos Mouros <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>, such fun when you suffer from vertigo <ed><U+00A0><U+00BD><ed><U+00B8><U+009F> <ed><U+00A0><U+00BC><ed><U+00BC><U+0080><ed><U+00A0><U+00BC><ed><U+00BC><U+0080> #sintra #climbing #mountains #morishcastle #castelosdosmauros #vertigo #highinthemountains #worldheritage #unesco #beautiful #love #nature #traveling #architecture #gettingcrazy","peter7gr7","186038903","Peter Gronenschild","1028367273636463342_186038903"
"18","image",-73.990816667,40.687088333,NA,NA,3,"Lark",2015-07-13 23:38:58,"https://instagram.com/p/5FfneVjIbf/",24,"https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e15/11375216_738812619574557_796012613_n.jpg","What a beautiful world <ed><U+00A0><U+00BC><ed><U+00BC><U+008D><U+2764><U+FE0F> Okavango Delta, Botswana
#travelpicoftheday","otpym","399050800","Oh The People You Meet","1028367141999249119_399050800"
"19","image",NA,NA,NA,NA,0,"Crema",2015-07-13 23:35:30,"https://instagram.com/p/5FfOGIRdhT/",8,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11266584_404234236433753_494173597_n.jpg","#throwback #april #travel #toledo #UNESCO #worldheritage #madrid #beautiful #town","july4ka_","2113784469","","1028365398019790931_2113784469"
"20","image",9.988616989,53.543870049,"Hamburger Speicherstadt",223638600,1,"Normal",2015-07-13 23:28:45,"https://instagram.com/p/5Fecv5AlPt/",21,"https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/s640x640/e35/sh0.08/1389896_387238258139701_1962473652_n.jpg","A Hamburg classic","ununun","445147","ununun","1028362006887027693_445147"
"21","image",21.009752205,52.240743181,"Ogród Saski w Warszawie",98559,2,"Normal",2015-07-13 23:27:23,"https://instagram.com/p/5FeSrozHLQ/",19,"https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11247857_893808344038742_175747032_n.jpg","The tomb of the unknown soldier in Warsaw. #warsaw #warszawa #130715 #instawarsaw #iphone6plus #soldiers #tomb #poland #flowers #unesco #worldheritage #architecture #artnouveau #artdeco #art","patglobetrotter","14964891","Pat De Rocker","1028361315125326544_14964891"
"22","image",21.59198812,63.107711546,NA,NA,0,"Ludwig",2015-07-13 23:26:17,"https://instagram.com/p/5FeKq8wK28/",1,"https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11417237_922749231119679_195553058_n.jpg","Fascinating! #Kaiserthermen #Trier #Germany #UNESCO #worldheritage #ancient #historical #Roman #imperial #baths #thermae #instadaily #instagood","aliciallyn","865264138","Alicia Nylund","1028360764630543804_865264138"
"23","image",NA,NA,NA,NA,1,"Normal",2015-07-13 23:25:16,"https://instagram.com/p/5FeDIqOxw6/",39,"https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11355236_853373091424686_1961852271_n.jpg","The Champagne region of France is so beautiful and unique that last week was listed by @unesco as world heritage site. Believe me, this must be visited at least once in a lifetime. <ed><U+00A0><U+00BC><ed><U+00BC><U+008D><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7>
#wonderlust #wanderlust #worldtravel #bucketlist #champagneregion #champagne #domperignon #hautvillers #reims #france #foodies #foodiesofinstagram #worldheritagesite #worldheritage #vineyards #champagnetasting #traveloften #beautifulday #nature #naturelover #notallwhowanderarelost","thewonderluststyle","1723758782","WONDERLUST STYLE","1028360246776241210_1723758782"
"24","image",10.179282596,49.37707434,"Rothenburg Marktplatz",232105936,2,"Normal",2015-07-13 23:25:09,"https://instagram.com/p/5FeCWHHwyO/",34,"https://scontent.cdninstagram.com/hphotos-xpt1/t51.2885-15/s640x640/e35/sh0.08/10584718_574947982644404_801935196_n.jpg","Sightseeing <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BC><U+008D><ed><U+00A0><U+00BC><ed><U+00B7><U+00A9><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #rothenburg #river #water #tauber #taubertal #nature #marktplatz #rathaus #beautiful #old #houses #panorama #view #architecture #fachwerk #colour #sightseeing #citytrip #city #ontour #tourists #travelphotography #traveling #flyaway #wanderlust #sky #hotday #traumwetter #potd #worldheritage","symy_ontour","41061986","Simone","1028360192500108430_41061986"
"25","image",-0.155911221,50.826948412,NA,NA,0,"Crema",2015-07-13 23:24:08,"https://instagram.com/p/5Fd60uTN8m/",12,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417401_919137221475820_347940237_n.jpg","This one time. In a sink hole... #sinkhole #underground #caves #borneo #mulu #worldheritage #rocks #sky #sun #travel #traveling #travelling #picoftheday #potd #igers #iphone","willsofawanderer","513069918","Lynnette Prigmore","1028359675613863718_513069918"
"26","image",21.008050656,52.240183898,"Ogród Saski",249772212,0,"Normal",2015-07-13 23:22:22,"https://instagram.com/p/5Fdt9jzHKG/",21,"https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/e35/sh0.08/11379269_1604079343198800_971638749_n.jpg","Saski Park in Warsaw. #warsaw #warszawa #130715 #instawarsaw #iphone6plus #poland #park #garden #saskipark #flowers #trees #unesco #worldheritage","patglobetrotter","14964891","Pat De Rocker","1028358791748153990_14964891"
"27","image",21.009752205,52.240743181,"Ogród Saski w Warszawie",98559,0,"Normal",2015-07-13 23:19:11,"https://instagram.com/p/5FdWq0THJc/",29,"https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/s640x640/e35/sh0.08/1516282_1663569630545222_1764436184_n.jpg","The tomb of the unknown soldier in Warsaw. #warsaw #warszawa #130715 #iphone6plus #instawarsaw #poland #tomb #architecture #garden #park #unesco #worldheritage #flowers #trees","patglobetrotter","14964891","Pat De Rocker","1028357191075918428_14964891"
"28","image",21.010174172,52.24085434,"Saski Park",248295796,0,"Normal",2015-07-13 23:14:09,"https://instagram.com/p/5FcxyCzHIU/",26,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11423971_126304651038074_615329972_n.jpg","In love in Warsaw. #warsaw #warszawa #130715 #instawarsaw #iphone6plus #poland #park #garden #summer #inlove #trees #flowers #unesco #worldheritage #architecture #fountain #water #saskipark","patglobetrotter","14964891","Pat De Rocker","1028354656214741524_14964891"
"29","image",21.0132008,52.2459793,"Narodowe Centrum Krwi",894045720,0,"Normal",2015-07-13 23:10:54,"https://instagram.com/p/5FcZ6hTHHh/",38,"https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10547169_653324454803838_179111967_n.jpg","Walking through Old Town Warsaw. #warsaw #warszawa #130715 #iphone6plus #instawarsaw #poland #artdeco #artnouveau #architecture #car #facade #flowers #oldtown #unesco #worldheritage #summer #clouds","patglobetrotter","14964891","Pat De Rocker","1028353016048939489_14964891"
"30","video",34.830719934,38.640734724,"Goreme Cappadocia, Turkey",309308790,0,"Normal",2015-07-13 23:07:51,"https://instagram.com/p/5FcDj0kaZP/",97,"https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/927097_394215580762473_1843690779_n.jpg","#worldheritage #wonderful_places #relaischateaux #travel #turkey #instanature #picoftheday #photooftheday #amazing #amazingplace #sunset #sunrise #goreme #greatesttravels #holiday #holidayseason #holidayspirit #luxurytravel #luxuryworldtraveler #cappadocia #view #virtuoso #balloons #beautiful #bestlocation #bestvacations #beautifulplanett #beautifuldestinations #nature #natureinside","goreme_cappadocia","1281151128","GÖREME NATIONAL PARK / TURKEY","1028351479847691855_1281151128"
"31","image",21.0174198,52.2395592,"The University of Warsaw Students' Union",264592035,0,"Normal",2015-07-13 23:07:28,"https://instagram.com/p/5FcAwRzHGv/",14,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11325688_712590868846237_1191403364_n.jpg","A car with a big smile. #warsaw #warszawa #130715 #iphone6plus #instawarsaw #poland #car #clouds #trabant #oldtimer #unesco #worldheritage #summer","patglobetrotter","14964891","Pat De Rocker","1028351287064555951_14964891"
"32","image",21.01829312,52.236123754,"Warsaw Fashion Street",783931397,0,"Normal",2015-07-13 23:04:43,"https://instagram.com/p/5FbsnqzHGF/",19,"https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s640x640/e35/sh0.08/10005256_891845454223703_1264011571_n.jpg","Statue of Cardinal Stefan Wyszynski of Poland. #warsaw #warszawa #130715 #instawarsaw #iphone6plus #statue #cardinal #church #architecture #art #unesco #worldheritage #poland","patglobetrotter","14964891","Pat De Rocker","1028349903430775173_14964891"
"33","image",-5.99882066,37.3905793,"Catedral Sevilla",269291410,0,"Normal",2015-07-13 23:00:36,"https://instagram.com/p/5FbOkpSFZh/",123,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11333434_1604121153182816_1894494025_n.jpg","<U+0421><U+0435><U+0432><U+0438><U+043B><U+044C><U+0441><U+043A><U+0438><U+0439> <U+041A><U+0430><U+0444><U+0435><U+0434><U+0440><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+0441><U+043E><U+0431><U+043E><U+0440> – <U+0441><U+0430><U+043C><U+044B><U+0439> <U+043A><U+0440><U+0443><U+043F><U+043D><U+044B><U+0439> <U+0445><U+0440><U+0430><U+043C> <U+0432> <U+0418><U+0441><U+043F><U+0430><U+043D><U+0438><U+0438>, <U+043E><U+043D> <U+044F><U+0432><U+043B><U+044F><U+0435><U+0442><U+0441><U+044F> <U+0442><U+0440><U+0435><U+0442><U+044C><U+0438><U+043C> <U+043F><U+043E> <U+0432><U+0435><U+043B><U+0438><U+0447><U+0438><U+043D><U+0435> <U+0432><U+043E> <U+0432><U+0441><U+0435><U+043C> <U+0445><U+0440><U+0438><U+0441><U+0442><U+0438><U+0430><U+043D><U+0441><U+043A><U+043E><U+043C> <U+043C><U+0438><U+0440><U+0435>. <U+0415><U+0433><U+043E> <U+0441><U+0442><U+0440><U+043E><U+0438><U+0442><U+0435><U+043B><U+044C><U+0441><U+0442><U+0432><U+043E> <U+0431><U+044B><U+043B><U+043E> <U+043D><U+0430><U+0447><U+0430><U+0442><U+043E> <U+0432> 1401 <U+0433>. <U+0438> <U+043F><U+0440><U+043E><U+0434><U+043E><U+043B><U+0436><U+0430><U+043B><U+043E><U+0441><U+044C> <U+0431><U+043E><U+043B><U+0435><U+0435> 100 <U+0441> <U+043B><U+0438><U+0448><U+043D><U+0438><U+043C> <U+043B><U+0435><U+0442>. <U+0421><U+043E><U+0431><U+043E><U+0440> <U+0432><U+043F><U+0435><U+0447><U+0430><U+0442><U+043B><U+044F><U+0435><U+0442> <U+0441><U+0432><U+043E><U+0438><U+043C> <U+043D><U+0430><U+0440><U+044F><U+0434><U+043D><U+044B><U+043C> <U+0438> <U+0442><U+043E><U+0440><U+0436><U+0435><U+0441><U+0442><U+0432><U+0435><U+043D><U+043D><U+044B><U+043C> <U+0432><U+0438><U+0434><U+043E><U+043C>. <U+0412><U+043D><U+0443><U+0442><U+0440><U+0435><U+043D><U+043D><U+0435><U+0435> <U+0443><U+0431><U+0440><U+0430><U+043D><U+0441><U+0442><U+0432><U+043E> <U+0442><U+0430><U+043A><U+0436><U+0435> <U+0441><U+043E><U+0437><U+0434><U+0430><U+0451><U+0442> <U+0432><U+043F><U+0435><U+0447><U+0430><U+0442><U+043B><U+0435><U+043D><U+0438><U+0435> <U+0440><U+043E><U+0441><U+043A><U+043E><U+0448><U+0438> <U+0438> <U+0431><U+043E><U+0433><U+0430><U+0442><U+0441><U+0442><U+0432><U+0430>. <U+041F><U+043E> <U+043F><U+0440><U+0435><U+0434><U+0430><U+043D><U+0438><U+044E> <U+0432> <U+0441><U+043E><U+0431><U+043E><U+0440><U+0435> <U+043D><U+0430><U+0445><U+043E><U+0434><U+0438><U+0442><U+0441><U+044F> <U+0433><U+0440><U+043E><U+0431><U+043D><U+0438><U+0446><U+0430> <U+0425><U+0440><U+0438><U+0441><U+0442><U+043E><U+0444><U+043E><U+0440><U+0430> <U+041A><U+043E><U+043B><U+0443><U+043C><U+0431><U+0430> <U+0441> <U+043E><U+0441><U+0442><U+0430><U+043D><U+043A><U+0430><U+043C><U+0438> <U+0432><U+0435><U+043B><U+0438><U+043A><U+043E><U+0433><U+043E> <U+043C><U+043E><U+0440><U+0435><U+043F><U+043B><U+0430><U+0432><U+0430><U+0442><U+0435><U+043B><U+044F>, <U+043F><U+0440><U+0438><U+0432><U+0435><U+0437><U+0435><U+043D><U+043D><U+044B><U+043C><U+0438> <U+0438><U+0437> <U+041A><U+0443><U+0431><U+044B> <U+0432> <U+043A><U+043E><U+043D><U+0446><U+0435> XIX <U+0441><U+0442><U+043E><U+043B><U+0435><U+0442><U+0438><U+044F> <ed><U+00A0><U+00BD><ed><U+00B2><U+0092><ed><U+00A0><U+00BD><ed><U+00B2><U+0092><ed><U+00A0><U+00BD><ed><U+00B2><U+0092>
#Sevilla #Andalucia #Spain #Espanya #España #catedral #cathedral #Catholic #Gothic #WorldHeritage #architecture #andalucia_monumental #coach #horse #history #historical #old #cityscape #cityview #christian #huge #beautiful #ig_sevilla #instatravel #ig_europe #loves_spain #travel #vacation #tbt #vsco","i_born_this_way","204404628","Dmitry I.","1028347838599812705_204404628"
"34","image",135.732115694,35.039449107,"The Golden Pavillion,Kinkakuji-Cho,Kita-Ku,Kyoto, Japan",236816462,1,"Normal",2015-07-13 22:52:55,"https://instagram.com/p/5FaWODrjeD/",15,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11327059_860869790665684_1517545837_n.jpg","Kinkakuji(Golden Pavilion). Made of real gold and built as a holiday Villa for the then Shogun of Kyoto and converted to a temple after his death. It was burnt down by a supposedly maniac monk twice and restored back to its glory after much efforts. A must see UNESCO World Heritage site for its shimmering presence. #nofilter","tanny_rae","184827956","Rae Aw","1028343966055937923_184827956"
"35","image",NA,NA,NA,NA,0,"Lo-fi",2015-07-13 22:48:33,"https://instagram.com/p/5FZ2R7wEiO/",2,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11356011_1672818279614818_1211242220_n.jpg","Beautiful part of the country.. #sukhothai #worldheritage #sukhothaihistoricalpark","livinginmilford","2058624113","Saori","1028341771194615950_2058624113"
"36","image",NA,NA,NA,606879482,6,"Normal",2015-07-13 22:46:08,"https://instagram.com/p/5FZkg3yq6A/",55,"https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e35/sh0.08/11355099_1469910843323794_1375466998_n.jpg","The awesome VAN NELLE neon lettering seen up close! #rooftopping #specialevening","instabruijn","5314778","instabruijn","1028340550283734656_5314778"
